datasetID,name,description,mediaURL,latitude,longitude
"Public Memorials & Sculptures","John Mockridge Fountain","Fountain - Arts & History",,-37.8155223709634,144.966994346849
"Public Memorials & Sculptures","Architectural Fragment","Sculpture - Arts & History",,-37.8098275435281,144.964046088207
"Public Memorials & Sculptures","Captain Matthew Flinders Statue","Sculpture - Arts & History",,-37.8169633057911,144.967487592771
"Public Memorials & Sculptures","Grotto Waterfall","Memorial Waterfall - Arts & History",,-37.8256393194989,144.97676107552
"Public Memorials & Sculptures","Faultline","Sculpture - Arts & History",,-37.8211525147875,144.96423807327
"Public Memorials & Sculptures","Aurora","Aurora Sculpture in Docklands - Arts & History",,-37.8186938302442,144.946856337589
"Public Memorials & Sculptures","William Ievers (Snr) Memorial Drinking Fountain","Memorial Drinking Fountain - Arts & History",,-37.8028341907642,144.966385560213
"Public Memorials & Sculptures","Adam Lindsay Gordon Memorial","Memorial Sculpture - Arts & History",,-37.8123634964432,144.973745102602
"Public Memorials & Sculptures","Separation Memorial","Memorial Sculpture - Arts & History",,-37.8106951235195,144.953685866683
"Public Memorials & Sculptures","Boy and Pelican","Sculpture - Arts & History",,-37.8137675152884,144.982771762965
"Public Memorials & Sculptures","Bali Memorial","Fountain - Arts & History",,-37.8024841102707,144.963242841603
"Public Memorials & Sculptures","Lie of the Land","Sculpture - Arts & History",,-37.8037691686334,144.972134256506
"Public Memorials & Sculptures","King George V","Memorial Sculpture - Arts & History",,-37.8242726781817,144.973213427595
"Public Memorials & Sculptures","Janet Lady Clarke Memorial Sculpture","Rotunda - Arts & History",,-37.8223354801052,144.971835314604
"Public Memorials & Sculptures","King Edward VII Memorial","Sculpture - Arts & History",,-37.8226718035411,144.970988249771
"Public Memorials & Sculptures","General Charles Gordon Memorial","Memorial Sculpture - Arts & History",,-37.8127260123213,144.973942497587
"Public Memorials & Sculptures","Larry La Trobe","Sculpture - Arts & History",,-37.8155485415339,144.966892073339
"Public Memorials & Sculptures","George Hawkins Ievers Memorial Drinking Fountain","Memorial Drinking Fountain - Arts & History",,-37.7921729137983,144.958090228013
"Public Memorials & Sculptures","Statue of Meditation","Sculpture - Arts & History",,-37.8139538628485,144.978577436109
"Public Memorials & Sculptures","Raising the Rattler Pole","Sculpture - Arts & History",,-37.8209006645416,144.954692755363
"Public Memorials & Sculptures","Motorcyclist Harold Parsons Memorial","Memorial Sculpture - Arts & History",,-37.8170400833235,144.98958111418
"Public Memorials & Sculptures","Brunton Drinking Fountain East","Memorial Drinking Fountain - Arts & History",,-37.7893037541819,144.972178908201
"Public Memorials & Sculptures","Queen Victoria Memorial","Memorial Sculpture statue - Arts & History",,-37.8218411871775,144.972479021742
"Public Memorials & Sculptures","Lake Waterfall","Waterfall - Arts & History",,-37.8220860665895,144.971811014259
"Public Memorials & Sculptures","Blowhole","Sculpture - Arts & History",,-37.8218628591026,144.947009361906
"Public Memorials & Sculptures","Edward George Honey Memorial","Sculpture - Arts & History",,-37.8297554644672,144.974419781225
"Public Memorials & Sculptures","The Water Nymph","Sculpture - Arts & History",,-37.8222098042075,144.971335362099
"Public Memorials & Sculptures","Peter Pan","Sculpture - Arts & History",,-37.784772976215,144.952364829892
"Public Memorials & Sculptures","Railway Viewing Platform","Sculpture - Arts & History",,-37.8088169287784,144.943688301286
"Public Memorials & Sculptures","Dairy Hall Window","Window - Arts & History",,-37.8072067342084,144.95927167699
