datasetID,name,description,mediaURL,latitude,longitude
"ABC News","Melbourne's emerging artists present global sights and sounds","16/06/09 - [link](http://www.abc.net.au/local/photos/2013/06/17/3783122.htm) - The Australia-Burma Society Dance Workshop at Fitzroy - Copyright: ABC | Source: | Byline:","http://www.abc.net.au/reslib/201306/r1130651_13928865.JPG",-37.80134953,144.98024225
"ABC News","Melbourne's Palace Theatre falls silent for the last time","15/05/10 - [link](http://www.abc.net.au/local/photos/2014/05/16/4006055.htm) -  - Copyright: ABC | Source: ABC Local | Byline: Clare Rawlinson","http://www.abc.net.au/reslib/201405/r1276938_17257469.JPG",-37.8114397,144.9722886
"ABC News","Messages of hope","03/02/06 - [link](http://www.abc.net.au/local/photos/2010/02/04/2809844.htm)",,-37.81022154,144.96481016
"ABC News","Mums of newborns celebrate Mother's Day","07/05/07 - [link](http://www.abc.net.au/local/photos/2011/05/08/3210640.htm) - Baby Princess with Mum who came from Liberia to Australia last year - Copyright: ABC | Source: used with Permission | Byline:","http://www.abc.net.au/reslib/201105/r762642_6424311.JPG",-37.798758,144.955899
"ABC News","Oh baby - Say hello to baby elephant Dokkoon","08/02/06 - [link](http://www.abc.net.au/local/photos/2010/02/09/2814335.htm)",,-37.78524305,144.9521032
"ABC News","On the beat in Melbourne","20/09/05 - [link](http://www.abc.net.au/local/photos/2009/09/21/2691869.htm)",,-37.821937,144.9532
"ABC News","Photos: 774 footy fever on AFL Grand Final eve","26/09/09 - [link](http://www.abc.net.au/local/photos/2013/09/27/3857899.htm) - Red Symons draws the winner of Grand Final tickets as Gerard Whateley looks on - Copyright: ABC | Source: ABC Local | Byline: Simon Leo Brown","http://www.abc.net.au/reslib/201309/r1180153_15081508.JPG",-37.82375,144.967102
"ABC News","Photos: Together For Victoria","21/02/05 - [link](http://www.abc.net.au/local/photos/2009/02/22/2498043.htm)",,-37.82172189,144.97850686
"ABC News","Rain on the parade","24/09/05 - [link](http://www.abc.net.au/local/photos/2009/09/25/2696788.htm)",,-37.81322526,144.97409999
"ABC News","Red carpet opening","16/09/05 - [link](http://www.abc.net.au/local/photos/2009/09/17/2689198.htm)",,-37.81735716,144.96974945
"ABC News","Richelle rescued by jaws of life","19/04/07 - [link](http://www.abc.net.au/local/photos/2011/04/20/3196825.htm) - Richelle Hunt reports for ABC Melbourne as she is freed from a car during a mock rescue at Federation Square. - Copyright: ABC | Source: ABC Melbourne | Byline: Peter Giafis","http://www.abc.net.au/reslib/201104/r754794_6290562.JPG",-37.81783602,144.96851027
"ABC News","Score with 774: Aus Open highlights","23/01/10 - [link](http://www.abc.net.au/local/photos/2014/01/24/3931628.htm) - Pletikos sisters Natasha and Emily celebrating Natasha's birthday at the Big Ted Arena. - Copyright: ABC | Source: ABC | Byline: Alyssa Allen","http://www.abc.net.au/reslib/201401/r1228466_16172128.jpg",-37.8218024,144.98080015
"ABC News","Service commemorates bushfires","14/02/05 - [link](http://www.abc.net.au/local/photos/2009/02/15/2491936.htm)",,-37.8127167,144.98146534
"ABC News","Six-year-old Isabelle worried about ABC, holds bake-off","05/02/10 - [link](http://www.abc.net.au/local/photos/2014/02/06/3939162.htm) - ABC Managing Direcor Mark Scott holds a $40 cheque from six year old Isabelle, who raised the money with a bake stall - Copyright: ABC | Source: ABC Local | Byline: Simon Leo Brown","http://www.abc.net.au/reslib/201402/r1233633_16287872.jpg",-37.8236711,144.96628135
"ABC News","Tears, dust and ashes: a service of prayer, hope and remembrance","12/02/05 - [link](http://www.abc.net.au/local/photos/2009/02/13/2491426.htm)",,-37.81707323,144.96773779
"ABC News","The 2009 Brownlow Medal","20/09/05 - [link](http://www.abc.net.au/local/photos/2009/09/21/2692456.htm)",,-37.82400373,144.95729864
"ABC News","The Melbourne Art Fair 2012","07/08/08 - [link](http://www.abc.net.au/local/photos/2012/08/08/3563317.htm) - Mime, Melbourne Art Fair 2012. - Copyright: ABC | Source: ABC | Byline: Caleb Cluff","http://www.abc.net.au/reslib/201208/r984697_10811918.jpg",-37.80478275,144.97205615
"ABC News","The strange world of Stifter's Dinge","07/10/06 - [link](http://www.abc.net.au/local/photos/2010/10/08/3033416.htm) - The show starts with the stage barely lit - Copyright: ABC | Source: ABC Local | Byline: Simon Leo Brown","http://www.abc.net.au/reslib/201010/r652460_4599090.jpg",-37.827046,144.966925
"ABC News","Victoria Police launch new uniform with catwalk show","04/12/08 - [link](http://www.abc.net.au/local/photos/2012/12/05/3648001.htm) - Police and Protective Service Officers model their new uniforms as Chief Commissioner Ken Lay speaks to the assembled crowd - Copyright: ABC | Source: ABC Local | Byline: Simon Leo Brown","http://www.abc.net.au/reslib/201212/r1044571_12072637.jpg",-37.822574,144.952315
